Tempo (anos),Altitude (km),Velocidade (km/s),Arrasto (N)
1.5332,389.3082,7.678383,6.6696e-4
1.5715,389.0232,7.678545,6.6953e-4
1.5907,388.8804,7.678626,6.7082e-4
1.6290,388.5938,7.678788,6.7342e-4
1.6482,388.4501,7.678870,6.7472e-4
1.6865,388.1619,7.679034,6.7735e-4
1.7057,388.0174,7.679116,6.7867e-4
1.7440,387.7275,7.679281,6.8132e-4
1.7823,387.4365,7.679446,6.8400e-4
1.8015,387.2906,7.679529,6.8535e-4
1.8398,386.9979,7.679695,6.8806e-4
1.8590,386.8512,7.679778,6.8942e-4
1.8973,386.5568,7.679946,6.9216e-4
1.9165,386.4092,7.680030,6.9354e-4
1.9548,386.1130,7.680198,6.9631e-4
1.9740,385.9645,7.680282,6.9771e-4
2.0123,385.6666,7.680452,7.0051e-4
2.0315,385.5173,7.680536,7.0192e-4
2.0698,385.2176,7.680707,7.0476e-4
2.0890,385.0673,7.680792,7.0619e-4
2.1273,384.7659,7.680964,7.0907e-4
2.1656,384.4632,7.681136,7.1197e-4
2.1848,384.3114,7.681222,7.1342e-4
2.2231,384.0069,7.681395,7.1636e-4
2.2423,383.8542,7.681482,7.1783e-4
2.2806,383.5478,7.681656,7.2080e-4
2.2998,383.3942,7.681743,7.2230e-4
2.3381,383.0859,7.681919,7.2530e-4
2.3573,382.9313,7.682007,7.2681e-4
2.3956,382.6212,7.682183,7.2986e-4
2.4148,382.4656,7.682272,7.3139e-4
2.4531,382.1536,7.682449,7.3447e-4
2.4914,381.8402,7.682627,7.3758e-4
2.5106,381.6830,7.682717,7.3914e-4
2.5489,381.3677,7.682896,7.4229e-4
2.5681,381.2095,7.682986,7.4387e-4
2.6064,380.8922,7.683167,7.4706e-4
2.6256,380.7330,7.683257,7.4867e-4
2.6639,380.4137,7.683439,7.5189e-4
2.6831,380.2535,7.683530,7.5352e-4
2.7214,379.9321,7.683713,7.5679e-4
2.7406,379.7709,7.683805,7.5843e-4
2.7789,379.4475,7.683989,7.6175e-4
2.7981,379.2852,7.684081,7.6341e-4
2.8364,378.9597,7.684266,7.6677e-4
2.8747,378.6327,7.684452,7.7016e-4
2.8939,378.4687,7.684546,7.7186e-4
2.9322,378.1396,7.684733,7.7529e-4
2.9514,377.9745,7.684827,7.7702e-4
2.9897,377.6433,7.685016,7.8049e-4
3.0089,377.4771,7.685110,7.8224e-4
3.0472,377.1436,7.685300,7.8576e-4
3.0664,376.9763,7.685396,7.8754e-4
3.1047,376.6406,7.685587,7.9111e-4
3.1239,376.4722,7.685683,7.9290e-4
3.1622,376.1343,7.685875,7.9652e-4
3.2005,375.7948,7.686068,8.0017e-4
3.2197,375.6245,7.686166,8.0201e-4
3.2580,375.2827,7.686360,8.0571e-4
3.2772,375.1112,7.686458,8.0758e-4
3.3155,374.7671,7.686654,8.1133e-4
3.3347,374.5944,7.686752,8.1322e-4
3.3730,374.2480,7.686950,8.1702e-4
3.3922,374.0741,7.687049,8.1894e-4
3.4305,373.7252,7.687248,8.2280e-4
3.4497,373.5501,7.687347,8.2474e-4
3.4880,373.1988,7.687548,8.2865e-4
3.5072,373.0225,7.687648,8.3062e-4
3.5455,372.6687,7.687850,8.3459e-4
3.5838,372.3132,7.688052,8.3860e-4
3.6030,372.1349,7.688154,8.4062e-4
3.6413,371.7768,7.688358,8.4468e-4
3.6605,371.5972,7.688461,8.4673e-4
3.6988,371.2366,7.688666,8.5085e-4
3.7180,371.0557,7.688769,8.5293e-4
3.7563,370.6925,7.688976,8.5711e-4
3.7755,370.5102,7.689080,8.5921e-4
3.8138,370.1444,7.689289,8.6346e-4
3.8330,369.9608,7.689394,8.6560e-4
3.8713,369.5923,7.689604,8.6990e-4
3.9097,369.2220,7.689815,8.7426e-4
3.9288,369.0361,7.689921,8.7645e-4
3.9671,368.6630,7.690134,8.8086e-4
3.9863,368.4758,7.690241,8.8309e-4
4.0246,368.1000,7.690455,8.8757e-4
4.0438,367.9113,7.690563,8.8983e-4
4.0821,367.5326,7.690779,8.9438e-4
4.1013,367.3426,7.690887,8.9667e-4
4.1396,366.9610,7.691105,9.0129e-4
4.1588,366.7695,7.691215,9.0362e-4
4.1971,366.3850,7.691434,9.0831e-4
4.2163,366.1920,7.691544,9.1067e-4
4.2546,365.8045,7.691765,9.1544e-4
4.2930,365.4151,7.691988,9.2025e-4
4.3121,365.2196,7.692099,9.2268e-4
4.3504,364.8271,7.692323,9.2757e-4
4.3696,364.6301,7.692436,9.3003e-4
4.4079,364.2345,7.692662,9.3500e-4
4.4271,364.0359,7.692775,9.3750e-4
4.4654,363.6372,7.693003,9.4255e-4
4.4846,363.4371,7.693117,9.4510e-4
4.5229,363.0351,7.693347,9.5023e-4
4.5421,362.8334,7.693462,9.5281e-4
4.5804,362.4282,7.693694,9.5802e-4
4.6188,362.0209,7.693926,9.6329e-4
4.6379,361.8164,7.694043,9.6595e-4
4.6762,361.4057,7.694278,9.7131e-4
4.6954,361.1996,7.694396,9.7401e-4
4.7337,360.7855,7.694632,9.7945e-4
4.7529,360.5776,7.694751,9.8220e-4
4.7912,360.1601,7.694990,9.8774e-4
4.8104,359.9505,7.695109,9.9053e-4
4.8487,359.5295,7.695350,9.9616e-4
4.8679,359.3182,7.695471,9.9900e-4
4.9062,358.8936,7.695714,1.0047e-3
4.9254,358.6805,7.695836,1.0076e-3
4.9637,358.2523,7.696080,1.0134e-3
5.0021,357.8217,7.696327,1.0193e-3
5.0212,357.6055,7.696450,1.0223e-3
5.0595,357.1712,7.696699,1.0283e-3
5.0787,356.9530,7.696823,1.0313e-3
5.1170,356.5149,7.697074,1.0374e-3
5.1362,356.2949,7.697200,1.0405e-3
5.1745,355.8530,7.697453,1.0467e-3
5.1937,355.6310,7.697580,1.0498e-3
5.2320,355.1851,7.697835,1.0562e-3
5.2512,354.9612,7.697963,1.0594e-3
5.2895,354.5113,7.698220,1.0658e-3
5.3279,354.0588,7.698480,1.0723e-3
5.3470,353.8315,7.698610,1.0756e-3
5.3854,353.3748,7.698871,1.0822e-3
5.4045,353.1454,7.699002,1.0856e-3
5.4428,352.6845,7.699266,1.0923e-3
5.4620,352.4531,7.699399,1.0957e-3
5.5003,351.9879,7.699665,1.1026e-3
5.5195,351.7543,7.699799,1.1061e-3
5.5578,351.2848,7.700068,1.1131e-3
5.5770,351.0490,7.700203,1.1166e-3
5.6153,350.5751,7.700474,1.1238e-3
5.6345,350.3370,7.700611,1.1274e-3
5.6728,349.8586,7.700885,1.1347e-3
5.7112,349.2182,7.701252,1.5202e-3
5.7303,348.8958,7.701436,1.5274e-3
5.7687,348.2464,7.701809,1.5419e-3
5.7878,347.9194,7.701996,1.5493e-3
5.8261,347.2607,7.702373,1.5643e-3
5.8453,346.9291,7.702564,1.5719e-3
5.8836,346.2609,7.702947,1.5874e-3
5.9028,345.9243,7.703140,1.5952e-3
5.9411,345.2463,7.703528,1.6111e-3
5.9603,344.9048,7.703724,1.6191e-3
5.9986,344.2167,7.704119,1.6355e-3
6.0370,343.5217,7.704518,1.6522e-3
6.0561,343.1716,7.704719,1.6607e-3
6.0945,342.4660,7.705124,1.6779e-3
6.1136,342.1105,7.705328,1.6867e-3
6.1520,341.3939,7.705739,1.7044e-3
6.1711,341.0328,7.705946,1.7134e-3
6.2094,340.3050,7.706364,1.7318e-3
6.2286,339.9381,7.706575,1.7411e-3
6.2669,339.1986,7.706999,1.7600e-3
6.2861,338.8259,7.707213,1.7696e-3
6.3244,338.0743,7.707645,1.7892e-3
6.3436,337.6955,7.707863,1.7991e-3
6.3819,336.9315,7.708301,1.8193e-3
6.4203,336.1590,7.708745,1.8400e-3
6.4394,335.7695,7.708969,1.8505e-3
6.4778,334.9839,7.709421,1.8718e-3
6.4969,334.5877,7.709648,1.8827e-3
6.5352,333.7885,7.710108,1.9048e-3
6.5544,333.3854,7.710340,1.9160e-3
6.5927,332.5721,7.710807,1.9390e-3
6.6119,332.1619,7.711043,1.9506e-3
6.6502,331.3340,7.711520,1.9743e-3
6.6694,330.9164,7.711760,1.9864e-3
6.7077,330.0734,7.712245,2.0110e-3
6.7461,329.2201,7.712736,2.0362e-3
6.7652,328.7894,7.712984,2.0491e-3
6.8036,327.9201,7.713484,2.0753e-3
6.8227,327.4812,7.713737,2.0886e-3
6.8611,326.5952,7.714247,2.1158e-3
6.8802,326.1479,7.714505,2.1297e-3
6.9185,325.2445,7.715025,2.1579e-3
6.9377,324.7883,7.715288,2.1724e-3
6.9760,323.8670,7.715819,2.2018e-3
6.9952,323.4016,7.716087,2.2168e-3
7.0335,322.4615,7.716629,2.2474e-3
7.0527,321.9866,7.716903,2.2630e-3
7.0910,321.0270,7.717456,2.2950e-3
7.1294,320.0539,7.718017,2.3278e-3
7.1485,319.5622,7.718301,2.3445e-3
7.1869,318.5681,7.718874,2.3788e-3
7.2060,318.0657,7.719164,2.3963e-3
7.2444,317.0499,7.719750,2.4321e-3
7.2635,316.5363,7.720047,2.4504e-3
7.3018,315.4976,7.720646,2.4878e-3
7.3210,314.9724,7.720950,2.5069e-3
7.3593,313.9098,7.721563,2.5460e-3
7.3785,313.3724,7.721874,2.5661e-3
7.4168,312.2848,7.722502,2.6071e-3
7.4552,311.1800,7.723140,2.6494e-3
7.4743,310.6209,7.723463,2.6711e-3
7.5127,309.4890,7.724118,2.7155e-3
7.5318,308.9160,7.724449,2.7383e-3
7.5702,307.7557,7.725120,2.7850e-3
7.5893,307.1682,7.725460,2.8090e-3
7.6277,305.9781,7.726148,2.8581e-3
7.6468,305.3753,7.726497,2.8833e-3
7.6851,304.1537,7.727204,2.9351e-3
7.7043,303.5348,7.727562,2.9616e-3
7.7426,302.2801,7.728288,3.0163e-3
7.7618,301.6442,7.728657,3.0443e-3
7.8001,300.3546,7.729404,3.1020e-3
7.8385,298.7845,7.730313,4.3883e-3
7.8576,297.8544,7.730852,4.4559e-3
7.8960,295.9508,7.731956,4.5974e-3
7.9151,294.9763,7.732521,4.6715e-3
7.9535,292.9796,7.733680,4.8272e-3
7.9726,291.9563,7.734273,4.9089e-3
8.0110,289.8569,7.735492,5.0808e-3
8.0301,288.7797,7.736118,5.1713e-3
8.0684,286.5667,7.737403,5.3623e-3
8.0876,285.4295,7.738064,5.4631e-3
8.1259,283.0899,7.739424,5.6763e-3
8.1643,280.6576,7.740839,5.9067e-3
8.1834,279.4043,7.741569,6.0289e-3
8.2218,276.8183,7.743074,6.2891e-3
8.2409,275.4832,7.743852,6.4276e-3
8.2793,272.7229,7.745461,6.7237e-3
8.2984,271.2948,7.746293,6.8820e-3
8.3368,268.3352,7.748019,7.2219e-3
8.3559,266.8002,7.748915,7.4046e-3
8.3943,263.6104,7.750778,7.7987e-3
8.4134,261.9513,7.751747,8.0117e-3
8.4517,258.4928,7.753769,8.4741e-3
8.4709,256.6880,7.754824,8.7256e-3
8.5092,252.9118,7.757035,9.2755e-3
8.5476,248.8895,7.759391,9.8982e-3
8.5667,245.9209,7.761131,1.4383e-2
8.6051,239.3579,7.764983,1.6473e-2
8.6242,235.7010,7.767132,1.7757e-2
8.6626,227.4192,7.772005,2.1014e-2
8.6817,222.6707,7.774803,2.3119e-2
8.7201,211.4905,7.781403,2.8850e-2
8.7392,204.7622,7.785382,3.2877e-2
8.7775,185.7039,7.796689,5.5219e-2
8.7967,170.5239,7.805730,7.4615e-2
8.8350,-65.5420,7.950504,9.9801e-1
