Tempo (anos),Altitude (km),Velocidade (km/s),Arrasto (N)
0.0000,399.9031,7.672373,4.5374e-4
0.0383,399.6556,7.672513,5.8014e-4
0.0575,399.5316,7.672583,5.8111e-4
0.0958,399.2828,7.672724,5.8306e-4
0.1150,399.1582,7.672795,5.8404e-4
0.1533,398.9082,7.672937,5.8601e-4
0.1725,398.7829,7.673008,5.8700e-4
0.2108,398.5317,7.673150,5.8899e-4
0.2300,398.4058,7.673221,5.8999e-4
0.2683,398.1533,7.673364,5.9201e-4
0.2875,398.0267,7.673436,5.9302e-4
0.3258,397.7730,7.673580,5.9505e-4
0.3641,397.5184,7.673724,5.9709e-4
0.3833,397.3907,7.673797,5.9812e-4
0.4216,397.1348,7.673942,6.0019e-4
0.4408,397.0065,7.674015,6.0123e-4
0.4791,396.7493,7.674160,6.0332e-4
0.4983,396.6204,7.674233,6.0437e-4
0.5366,396.3618,7.674380,6.0648e-4
0.5558,396.2322,7.674454,6.0754e-4
0.5941,395.9724,7.674601,6.0967e-4
0.6133,395.8421,7.674675,6.1074e-4
0.6516,395.5808,7.674823,6.1289e-4
0.6708,395.4499,7.674897,6.1398e-4
0.7091,395.1873,7.675046,6.1615e-4
0.7474,394.9238,7.675196,6.1835e-4
0.7666,394.7917,7.675270,6.1945e-4
0.8049,394.5268,7.675421,6.2166e-4
0.8241,394.3940,7.675496,6.2278e-4
0.8624,394.1277,7.675647,6.2502e-4
0.8816,393.9942,7.675723,6.2614e-4
0.9199,393.7264,7.675875,6.2841e-4
0.9391,393.5922,7.675951,6.2954e-4
0.9774,393.3230,7.676104,6.3183e-4
0.9966,393.1881,7.676180,6.3298e-4
1.0349,392.9175,7.676334,6.3530e-4
1.0732,392.6459,7.676488,6.3763e-4
1.0924,392.5097,7.676565,6.3880e-4
1.1307,392.2367,7.676720,6.4115e-4
1.1499,392.0998,7.676798,6.4234e-4
1.1882,391.8252,7.676954,6.4472e-4
1.2074,391.6876,7.677032,6.4591e-4
1.2457,391.4115,7.677188,6.4832e-4
1.2649,391.2731,7.677267,6.4953e-4
1.3032,390.9955,7.677425,6.5197e-4
1.3224,390.8563,7.677504,6.5319e-4
1.3607,390.5772,7.677662,6.5565e-4
1.3799,390.4372,7.677742,6.5689e-4
1.4182,390.1566,7.677901,6.5938e-4
1.4565,389.8748,7.678061,6.6189e-4
1.4757,389.7336,7.678141,6.6315e-4
1.5140,389.4502,7.678302,6.6569e-4
