Tempo (anos),Altitude (km),Velocidade (km/s),Arrasto (N)
0.0000,398.8384,7.672976,4.5374e-4
0.0192,397.3347,7.673828,5.8756e-4
0.0383,395.8007,7.674698,5.9961e-4
0.0575,394.2350,7.675586,6.1216e-4
0.0767,392.6365,7.676493,6.2524e-4
0.0958,391.0037,7.677420,6.3888e-4
0.1150,389.3350,7.678367,6.5312e-4
0.1342,387.6290,7.679336,6.6800e-4
0.1533,385.8839,7.680328,6.8357e-4
0.1725,384.0979,7.681343,6.9987e-4
0.1916,382.2690,7.682383,7.1695e-4
0.2108,380.3951,7.683449,7.3488e-4
0.2300,378.4740,7.684543,7.5371e-4
0.2491,376.5033,7.685665,7.7352e-4
0.2683,374.4803,7.686817,7.9438e-4
0.2875,372.4022,7.688002,8.1637e-4
0.3066,370.2660,7.689220,8.3961e-4
0.3258,368.0683,7.690473,8.6418e-4
0.3450,365.8055,7.691765,8.9021e-4
0.3641,363.4737,7.693096,9.1783e-4
0.3833,361.0686,7.694470,9.4719e-4
0.4025,358.5853,7.695890,9.7845e-4
0.4216,356.0189,7.697358,1.0118e-3
0.4408,353.3634,7.698878,1.0475e-3
0.4600,350.6126,7.700453,1.0857e-3
0.4791,347.7595,7.702088,1.1268e-3
0.4983,343.8110,7.704352,1.5604e-3
0.5175,339.6303,7.706751,1.6537e-3
0.5366,335.1888,7.709303,1.7584e-3
0.5558,330.4526,7.712027,1.8770e-3
0.5749,325.3803,7.714947,2.0123e-3
0.5941,319.9217,7.718093,2.1680e-3
0.6133,314.0145,7.721503,2.3491e-3
0.6324,307.5801,7.725221,2.5621e-3
0.6516,300.5178,7.729309,2.8162e-3
0.6708,292.6956,7.733844,3.1242e-3
0.6899,280.3684,7.741008,4.9322e-3
0.7091,265.2692,7.749809,6.0581e-3
0.7283,245.9118,7.761137,7.7931e-3
0.7474,207.9208,7.783513,1.5362e-2
0.7666,120.6935,7.835631,3.5577e-2
0.7858,-8344.4734,NaN,3.5225e+0
